Project,Issue Type,Summary,Description,Priority,Assignee,Labels,Components,Epic Name,Epic Link
AVNZ,Task,Web: Align Tasks dashboard UI,"Ensure /admin/dashboard/tasks mirrors /admin/clients layout, spacing, DataTable styling, and responsiveness.",Medium,Emma Johansson,"backlog,autogen,codex,brave-mode",Web,,Admin UI Consistency & Accessibility
AVNZ,Epic,Secrets & Templates Robustness,"Harden secrets resolution and template coverage; verify RBAC and cost attribution for messaging.",Medium,Emma Johansson,"backlog,autogen,codex,brave-mode",API;Web,Secrets & Templates Robustness,
AVNZ,Task,Secrets: Verify service_configs resolver,"Test getServiceConfig() override→default decryption path; add coverage where missing.",Medium,Emma Johansson,"backlog,autogen,codex,brave-mode",API,,Secrets & Templates Robustness
AVNZ,Task,Admin: Test /admin/secrets endpoints,"Exercise GET/POST/DELETE /admin/services/configs with org-scoped RBAC + UI flows.",Medium,Emma Johansson,"backlog,autogen,codex,brave-mode",API;Web,,Secrets & Templates Robustness
AVNZ,Task,Templates: Validate variable coverage,"Ensure templates support url, clientName, orgName, orgNameSuffix, shortCode; add tests.",Low,Emma Johansson,"backlog,autogen,codex,brave-mode",API,,Secrets & Templates Robustness
AVNZ,Task,Messaging: Log usage_events with cost,"Confirm SendGrid/Twilio flows record usage_events with cost_usd attribution.",Low,Emma Johansson,"backlog,autogen,codex,brave-mode",API,,Secrets & Templates Robustness
AVNZ,Task,DB: Verify 028_default_email_templates applied,"Ensure migration 028_default_email_templates.sql is applied in all envs.",Low,Emma Johansson,"backlog,autogen,codex,brave-mode",DB,,Secrets & Templates Robustness
AVNZ,Epic,Security & Compliance Hardening,"Confirm forgot-password non-enumeration and review production CSP/headers.",Medium,Emma Johansson,"backlog,autogen,codex,brave-mode",Security,Security & Compliance Hardening,
AVNZ,Task,Auth: Forgot password non-enumerating,"Verify /auth/request-reset returns neutral response and redirects back with neutral toast; adjust as needed.",Medium,Emma Johansson,"backlog,autogen,codex,brave-mode",Security;API,,Security & Compliance Hardening
AVNZ,Task,Headers: Review prod CSP,"Audit production CSP/headers; ensure dev HMR allowances are dev-only.",Low,Emma Johansson,"backlog,autogen,codex,brave-mode",Security,,Security & Compliance Hardening
AVNZ,Epic,Jira/Confluence Project Hygiene,"Ensure AVNZ Jira project, board, roles, and Confluence space are set up; automate checks.",High,Emma Johansson,"backlog,autogen,codex,brave-mode",Jira;Ops,Jira/Confluence Project Hygiene,
AVNZ,Task,Jira: Verify access and board,"Run scripts/jira-verify-access.sh and scripts/jira-board-ensure.sh; fix 404/permissions and confirm AVNZ board exists.",High,Emma Johansson,"backlog,autogen,codex,brave-mode",Jira;Ops,,Jira/Confluence Project Hygiene
AVNZ,Task,Jira: Create project if missing,"Use scripts/jira-create-project.sh (admin) to create AVNZ Scrum project if not present; document permission requirements.",High,Emma Johansson,"backlog,autogen,codex,brave-mode",Jira;Ops,,Jira/Confluence Project Hygiene
AVNZ,Task,Jira: Assign roles and roster,"List roles and assign via scripts/jira-list-roles.sh and scripts/jira-assign-roles.sh; ensure Emma Johansson is Product Owner.",Medium,Emma Johansson,"backlog,autogen,codex,brave-mode",Jira,,Jira/Confluence Project Hygiene
AVNZ,Task,Confluence: Bootstrap and link Jira,"Create/verify space AVNZ, seed starter pages, and link Jira project; see scripts/confluence-bootstrap.sh.",Medium,Emma Johansson,"backlog,autogen,codex,brave-mode",Ops;Docs,,Jira/Confluence Project Hygiene
AVNZ,Task,Docs: Update SUMMARY.MD for Jira setup,"Document Jira/Confluence setup outcomes and access notes in SUMMARY.MD.",Low,Emma Johansson,"backlog,autogen,codex,brave-mode",Docs,,Jira/Confluence Project Hygiene
